,id,mode,TASK_STARTED_LOAD,TASKS_LIST_LOAD,TASK_SUBMITED_LOAD,FINISHED_TASK_LOAD,BELL_CLICK,SETT_CLICK,SETT_SAVE,MSG_RCV_WORKER,MSG_CLICK_WORKER,MSG_RCV_REQUESTER,MSG_CLICK_REQUESTER,LIST_NEW,LIST_RECOM,LIST_PAY,TASK_HIDE_ON,TASK_HIDE_OFF,tasks_count,wage_sum,wage_max,Unnamed: 0_x,all_tasks_count,all_rewards,TASKS_LIST,MESSAGES_READ,TASK_INFO,TASK_TIMEOUT,TASK_SUBMITED,WORKER_EARNINGS,WORKER_EARNINGS_DETAILS,WORKER_DASHBOARD,WORKER_QUALIFICATIONS,TASK_QUEUE,MESSAGES_NOTIFICATION
0,6f1753e09611df5751d6abe4b1ca2724,ACTIVE,9,49,31,0,32,0,0,26,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6f1753e09611df5751d6abe4b1ca2724,PASSIVE,7,18.66666667,15,0,0.6666666667,0,0,0,0,0,0,0,0,0,0,0,33.66666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,27fab4b7ccdc585dc35897de76e44a8c,ACTIVE,1,9,1,0,12,10,0,30,0,0,0,0,1,2,0,0,1,0,0,0,2,0,11,3,0,0,1,0,0,0,0,0,0
3,27fab4b7ccdc585dc35897de76e44a8c,PASSIVE,1.5,7,1,0,3.5,0,0,0,0,0,0,0,0,0,0,0,111.5,0,0,1,33,0.48,0,0,0,0,0,0,0,0,0,0,0
4,356cd2c5f07830925f6a46ee42e9c748,ACTIVE,47.33333333,30,81,0,5.333333333,0.6666666667,0.3333333333,0,0,0,0,1.666666667,0,1.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,356cd2c5f07830925f6a46ee42e9c748,PASSIVE,0,2.5,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,25daec93559c8d639738bb2c2d8f3194,ACTIVE,6,20,3,0,28,0,0,0,0,4,1,0,0,0,0,0,404,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
7,25daec93559c8d639738bb2c2d8f3194,PASSIVE,61,57,72.5,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,18,0.36,0.5,0,0,0,0,0,0,0,0,0,0
8,6b4cd1c49a60f0cd87c83910d58249,ACTIVE,2.333333333,8.666666667,4,0,10.66666667,0,0,0.3333333333,0,0,0,0,0,0,0,0,0,0,0,0,1.333333333,0.003333333333,0,0,0,0,0,0,0,0,0,0,0
9,6b4cd1c49a60f0cd87c83910d58249,PASSIVE,3,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.035,0,0,0,0,0,0,0,0,0,0,0
10,6ecf5c6464172449bad6820af297e50,ACTIVE,143,118,274,0,57,0,0,115,7,50,1,2,11,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,6ecf5c6464172449bad6820af297e50,PASSIVE,78.5,297.5,103.5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57.5,2.485,0,0,0,0,0,0,0,0,0,0,0
12,ae18ab1aea6162de2276501ad651b6,ACTIVE,114,248,170,0,81,4,0,334,0,97,0,1,1,3,0,0,363,0,0,0,11,0.3,25,2,2,0,5,0,0,0,0,0,0
13,ae18ab1aea6162de2276501ad651b6,PASSIVE,103.5,53,109,0,23,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,19,0.42,0.5,0,0,0,0.5,0,0,0,0,0,0
14,f3cc482e6ec9e826e94d25d3aaa4bd9,ACTIVE,41,15,72,0,36,0,0,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,f3cc482e6ec9e826e94d25d3aaa4bd9,PASSIVE,74.5,59,295,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
