Timestamp,(Do not change this value) Plugin ID ,"How much did the plugin change how you work on Toloka? (number of tasks you do,  types of tasks you do, or change the type of ""other activities"" you do while completing Toloka tasks (e.g., read your email etc))",Please explain your above response.,"How much did the plugin create new work schedules for you? (e.g., times of day when you complete Toloka Tasks)",Please explain your above response.,How much did the plugin change how much you enjoy working on Toloka,Please explain your above response.,"Overall, how much did the tool create new experiences for you",Please explain your above response. ,How useful do you find the alerts of the plugin?,Please explain your above response. ,When you first joined Toloka how much do you believe you had to change your work style?,Rate how likely you are to... [Use a tool of this kind],Rate how likely you are to... [Use in-page alerts],Rate how likely you are to... [Use in-browser alerts],Rate how likely you are to... [Receive messages from requesters],Rate how likely you are to... [Receive messages from workers],What  was your favorite thing about the plugin? Explain why. ,What  was the thing about the plugin you liked the least? Explain why.,If you had a magic wand and could  add or remove anything from the plugin what would it be?,Would you like to participate in further user studies with us?,How confident are you that you will be able to complete all the tasks that you decide to do in Toloka?,"When complicated Toloka tasks are presented to you, how confident are you that you can complete the tasks?","To see if you're still paying attention, please select the choice that says strongly disagree.",I am satisfied with the Toloka tasks I do:,I can see myself working on Toloka in two years,I always want to give my best whenever I am working on Toloka tasks,I felt the plugin helped me to better use my potential and strengths,"Do you have any closing thoughts? This can include comments about your experience using the plugin, comments about Toloka, any questions you have for the research team, or anything else. "
1/16/2022 18:47:31,FINALFORM,Incredible perform very interesting tasks,,,,,,,,Actually it does help a lot since being on the pc and seeing that a notification arrives is of great help,"very useful since we both benefit, me receiving tasks and you having a well-prepared task from me",,Likely,Likely,Likely,Likely,Likely,That there be more tasks for the most active people and with good results,,,Yes,,,Strongly disagree,Slightly Agree,,,,"Increasing homework and exams for the most active people in Toloka since we both came out on top.
Very happy working with toloka."
1/16/2022 18:49:45,FINALSURVEY2,nothing,,,,,,,,nothing,nothing,,Unlikely,Unlikely,Unlikely,Unlikely,Unlikely,,,,Yes,,,Strongly disagree,Neutral,,,,
1/23/2022 2:02:08,FINALSURVEY3,3,very fast,2,2 days,4,I enjoy it,5,very helpful,3,very useful,,Likely,Likely,Very likely,Likely,Very likely,the notifications. It keeps us updated,nothing,nothing else,Yes,5,5,Strongly agree,Strongly agree,4,5,5,Nothing else. Thanks for the plug-in
2/19/2022 13:08:36,518cd56975ccc59032da3137d845c6b,5,helps search tasks,5,it made me adjust my timing to complete tasks,5,finding convenient tasks,5,made interact more with toloka tasks,5,welcomed and easy to use,5,Very likely,Very likely,Very likely,Very likely,Neutral,get notified about tasks,worker recommendations popups,add a tab to view and withdraw money from toloka,Yes,4,4,Strongly disagree,Strongly agree,4,5,5,great plugin
2/20/2022 14:59:35,32ae306c14a39c07f685ea94adf6475,3,It didn't change how I work that much really but I did find myself doing more tasks just because I had the plugin in mind and was looking at the tasks available more often.,2,The plugin didn't really change my work schedule for doing tasks on Toloka.,4,"Since installing the plugin I felt more inclined to check out Toloka on a daily basis and by doing that I found a few more tasks that I usually wouldn't have seen, this meant I worked on a few more tasks and I enjoyed these.",4,I checked into Toloka more during the period the plugin was installed because I could see tasks in the plugin without having to visit the website.,4,"These are useful, it saves visiting the site to see new jobs but also lets you know when a new job arrives which you don't get without manually checking on the website.",2,Very likely,Very likely,Very likely,Very likely,Neutral,Showing the tasks without having to visit the site explicitly was useful and easier when doing other things in the browser just to check.,There's nothing that I disliked about the plugin.,Nothing I can think of needs removing.,Yes,4,4,Strongly disagree,Agree,4,5,5,Enjoyed this project and I am currently enjoying taking tasks on Toloka.
2/20/2022 15:08:05,d27e322316b99d8bd347bf330e4f5b2,4,Cho tôi nhìn thấy khá nhiều nhiệm vu 1 cách ngắn gọn,4,Làm tôi quản lý việc tốt hơn,5,"làm tôi khá thích hơn vì nó dễ sử dụng
",3,khá ổn,4,giúp tôi chọn loc nhiệm vu dễ dàng,4,Neutral,Likely,Neutral,Likely,Likely,Là tiện lợi. Giúp tôi lọc nhiệm vụ có tiền và tiền chờ được ngay,là nó hơi chậm,tôi muốn nó nhanh hơn và hiển thị nhieejjm vụ nhanh hơn,Yes,3,4,Disagree,Agree,5,3,4,Toi nghĩ tôi vẫn sẽ dùng plugin
2/20/2022 15:08:31,7efc45e5132625d5314ddfc349384541,1,It didn't changed much of my work on Toloka. I barely used it because whenever i want to do tasks i go to the main website directly. ,1,I work on tasks whenever i want or when my favorite tasks available.,3,I always enjoy my work on toloka but i Believe the plugin would be a great extension to the main platform. I would enjoy my work a little more. ,3,Not much. But i think it is good to have a plugin that will notify me about tasks. ,4,That is the most interesting thing about it. I like receiving notifications about tasks availability. ,3,Neutral,Likely,Very likely,Likely,Likely,I liked the notifications about tasks. But it needs more improvement on that side.,The interface,I would add a user-friendly and more appealing interface.,Yes,5,3,Strongly agree,Slightly Agree,5,5,2,"It would be really helpful if there are a lot more tasks on toloka to do.
Whenever i'm doing tasks and i notice an error or a mistake appears. It is hard to notify the requester and explain on which page or task the error happened.
It would be great if you can add a feature to properly notify the requester about the error like when it happened and where. "
2/20/2022 15:21:27,27fab4b7ccdc585dc35897de76e44a8c,4,I am satisfied with it but there should be a auto refresh so that it will be more awesome,4,It made me to remember to do the tasks,5,It engaged me more,5,It is good but it takes more time to load,4,It is very useful,4,Likely,Likely,Neutral,Unlikely,Neutral,It works as a shortcut way to do the tasks,It loads so much,It should be fast,Yes,5,4,Strongly disagree,Agree,4,5,4,Nice experience with the plugin but one thing is that there are some tasks which do not pay and these requesters are fooling the taskers. Kindly take a notice against this. This will be highly appreciable.
2/20/2022 15:23:55,86a36fbbe35a283dee16ff8280e5ed5,4,More tasks seemed available,4,Worked more in daytime,5,Created more success,4,General improvement in all areas,3,Seemed hit or miss,4,Likely,Likely,Likely,Likely,Neutral,Alerts-improved productivity,Alerts weren't always reliable,Nothing,Yes,5,4,Strongly disagree,Slightly Agree,4,5,5,
2/20/2022 15:35:22,6ecf5c6464172449bad6820af297e50,3,The plugin didn't change anything about my work in Toloka because I didn't receive notification about missions or my email.,5,"I complete any task that is available on Toluca, so I log in several times and monitor any new task",3,The plug-in didn't change anything in my performance on my mission in Toluca,3,The tool did not add much to my performance in Toluca,3,i didn't recieve any alerts,5,Neutral,Very likely,Very likely,Very likely,Very likely,i think its nothing,Lack of missions and notifications,nothing,Yes,5,5,Strongly disagree,Strongly agree,5,5,3,"First, I want the plugin to be a tool to provide more tasks and a link between the client and the providers"
